mass,metallicity,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
0.8,0.0,1.600000e-04,3.200000e-04,4.800000e-04,6.400000e-04,8.000000e-04,9.600000e-04,1.120000e-03,1.280000e-03,1.440000e-03,1.600000e-03,1.760000e-03,1.920000e-03,2.080000e-03,2.240000e-03,2.400000e-03,2.560000e-03,2.720000e-03,2.880000e-03,3.040000e-03,3.200000e-03,3.360000e-03,3.520000e-03,3.680000e-03,3.840000e-03,4.000000e-03,4.160000e-03,4.320000e-03,4.480000e-03,4.640000e-03,4.800000e-03
0.8,0.02,1.760000e-04,3.520000e-04,5.280000e-04,7.040000e-04,8.800000e-04,1.056000e-03,1.232000e-03,1.408000e-03,1.584000e-03,1.760000e-03,1.936000e-03,2.112000e-03,2.288000e-03,2.464000e-03,2.640000e-03,2.816000e-03,2.992000e-03,3.168000e-03,3.344000e-03,3.520000e-03,3.696000e-03,3.872000e-03,4.048000e-03,4.224000e-03,4.400000e-03,4.576000e-03,4.752000e-03,4.928000e-03,5.104000e-03,5.280000e-03
2,0.0,4.000000e-04,8.000000e-04,1.200000e-03,1.600000e-03,2.000000e-03,2.400000e-03,2.800000e-03,3.200000e-03,3.600000e-03,4.000000e-03,4.400000e-03,4.800000e-03,5.200000e-03,5.600000e-03,6.000000e-03,6.400000e-03,6.800000e-03,7.200000e-03,7.600000e-03,8.000000e-03,8.400000e-03,8.800000e-03,9.200000e-03,9.600000e-03,1.000000e-02,1.040000e-02,1.080000e-02,1.120000e-02,1.160000e-02,1.200000e-02
2,0.02,4.400000e-04,8.800000e-04,1.320000e-03,1.760000e-03,2.200000e-03,2.640000e-03,3.080000e-03,3.520000e-03,3.960000e-03,4.400000e-03,4.840000e-03,5.280000e-03,5.720000e-03,6.160000e-03,6.600000e-03,7.040000e-03,7.480000e-03,7.920000e-03,8.360000e-03,8.800000e-03,9.240000e-03,9.680000e-03,1.012000e-02,1.056000e-02,1.100000e-02,1.144000e-02,1.188000e-02,1.232000e-02,1.276000e-02,1.320000e-02
4,0.0,8.000000e-04,1.600000e-03,2.400000e-03,3.200000e-03,4.000000e-03,4.800000e-03,5.600000e-03,6.400000e-03,7.200000e-03,8.000000e-03,8.800000e-03,9.600000e-03,1.040000e-02,1.120000e-02,1.200000e-02,1.280000e-02,1.360000e-02,1.440000e-02,1.520000e-02,1.600000e-02,1.680000e-02,1.760000e-02,1.840000e-02,1.920000e-02,2.000000e-02,2.080000e-02,2.160000e-02,2.240000e-02,2.320000e-02,2.400000e-02
4,0.02,8.800000e-04,1.760000e-03,2.640000e-03,3.520000e-03,4.400000e-03,5.280000e-03,6.160000e-03,7.040000e-03,7.920000e-03,8.800000e-03,9.680000e-03,1.056000e-02,1.144000e-02,1.232000e-02,1.320000e-02,1.408000e-02,1.496000e-02,1.584000e-02,1.672000e-02,1.760000e-02,1.848000e-02,1.936000e-02,2.024000e-02,2.112000e-02,2.200000e-02,2.288000e-02,2.376000e-02,2.464000e-02,2.552000e-02,2.640000e-02
6,0.0,1.200000e-03,2.400000e-03,3.600000e-03,4.800000e-03,6.000000e-03,7.200000e-03,8.400000e-03,9.600000e-03,1.080000e-02,1.200000e-02,1.320000e-02,1.440000e-02,1.560000e-02,1.680000e-02,1.800000e-02,1.920000e-02,2.040000e-02,2.160000e-02,2.280000e-02,2.400000e-02,2.520000e-02,2.640000e-02,2.760000e-02,2.880000e-02,3.000000e-02,3.120000e-02,3.240000e-02,3.360000e-02,3.480000e-02,3.600000e-02
6,0.02,1.320000e-03,2.640000e-03,3.960000e-03,5.280000e-03,6.600000e-03,7.920000e-03,9.240000e-03,1.056000e-02,1.188000e-02,1.320000e-02,1.452000e-02,1.584000e-02,1.716000e-02,1.848000e-02,1.980000e-02,2.112000e-02,2.244000e-02,2.376000e-02,2.508000e-02,2.640000e-02,2.772000e-02,2.904000e-02,3.036000e-02,3.168000e-02,3.300000e-02,3.432000e-02,3.564000e-02,3.696000e-02,3.828000e-02,3.960000e-02
8,0.0,1.600000e-03,3.200000e-03,4.800000e-03,6.400000e-03,8.000000e-03,9.600000e-03,1.120000e-02,1.280000e-02,1.440000e-02,1.600000e-02,1.760000e-02,1.920000e-02,2.080000e-02,2.240000e-02,2.400000e-02,2.560000e-02,2.720000e-02,2.880000e-02,3.040000e-02,3.200000e-02,3.360000e-02,3.520000e-02,3.680000e-02,3.840000e-02,4.000000e-02,4.160000e-02,4.320000e-02,4.480000e-02,4.640000e-02,4.800000e-02
8,0.02,1.760000e-03,3.520000e-03,5.280000e-03,7.040000e-03,8.800000e-03,1.056000e-02,1.232000e-02,1.408000e-02,1.584000e-02,1.760000e-02,1.936000e-02,2.112000e-02,2.288000e-02,2.464000e-02,2.640000e-02,2.816000e-02,2.992000e-02,3.168000e-02,3.344000e-02,3.520000e-02,3.696000e-02,3.872000e-02,4.048000e-02,4.224000e-02,4.400000e-02,4.576000e-02,4.752000e-02,4.928000e-02,5.104000e-02,5.280000e-02
